,smiles,Dissocation energy (nucleofuge),Dissociation energy (electrofuge),Electroaccepting power(w+),Electrodonating power (w-),Electronegativity (chi=-mu),Electronic chemical potential (mu),Electronic chemical potential (mu+),Electronic chemical potential (mu-),Electrophilicity index (w=omega),Global Dual Descriptor Deltaf+,Global Dual Descriptor Deltaf-,Hardness (eta),Hyperhardness (gamma),Net Electrophilicity,Softness (S)
357,Nc1cccc(OCCNC(=O)c2cc(Cl)ccc2O)c1,0.0212043588953529,0.3077020745767592,0.027,0.171,0.143,-0.143,-0.266,-0.021,0.042,-0.997,0.997,0.245,0.223,0.198,4.078
358,CC(Nc1ccc([N+](=O)[O-])cc1I)c1ncc[nH]1,0.0122007749623174,0.358636635112217,0.048,0.222,0.173,-0.173,-0.299,-0.047,0.06,-0.71,0.71,0.252,0.226,0.27,3.975
359,CCNC(CCC1CCCC1)Cc1sccc1Br,0.0428497096568137,0.3122222412043648,0.013,0.148,0.135,-0.135,-0.281,0.012,0.031,-0.966,0.966,0.293,0.278,0.16,3.411
360,CCS/C(N)=N\N=Cc1cc(Cl)cc(Cl)c1O,0.0121640256401418,0.336807537739878,0.044,0.207,0.162,-0.162,-0.282,-0.043,0.055,-0.5770000000000001,0.5770000000000001,0.239,0.22,0.251,4.192
361,O=C(CC1CCCC(CNc2cc(-c3ccccc3O)nc3c(Br)cnn23)C1)C1CCc2ccccc2C1,0.0147732275146133,0.3299721638152061,0.039,0.1969999999999999,0.158,-0.158,-0.2789999999999999,-0.037,0.051,-0.611,0.611,0.242,0.235,0.235,4.129
362,Cc1ccc(S(=O)(=O)Nc2nnc(C(C)C)o2)cc1F,0.021718849405812,0.3761293124678288,0.038,0.215,0.177,-0.177,-0.322,-0.033,0.054,-0.922,0.922,0.289,0.268,0.253,3.4560000000000004
363,CN.Cc1c(NC(=O)c2ccc(C(F)F)cc2)cccc1-c1ccc(C=O)c2[nH]c(-c3cncnc3)cc12,0.0064311313807396,0.3470238493047101,0.0579999999999999,0.2289999999999999,0.17,-0.17,-0.282,-0.0579999999999999,0.065,-0.513,0.513,0.2239999999999999,0.216,0.287,4.465
364,CC(C)COCCNC(C)(C)CCl,0.0801502716651035,0.3138024620579179,0.002,0.119,0.1169999999999999,-0.1169999999999999,-0.295,0.061,0.019,-0.84,0.84,0.356,0.316,0.121,2.813
365,CCCNC(Cc1ccc(F)c(F)c1)CC1CCOC1,0.0424822164350571,0.3317361312796376,0.015,0.16,0.145,-0.145,-0.298,0.008,0.034,-0.923,0.923,0.306,0.29,0.175,3.27
366,Cn1c(C2CCCO2)nc2ccc(CN)cc21,0.0421147232133006,0.3078490718654619,0.013,0.146,0.133,-0.133,-0.2769999999999999,0.012,0.031,-0.499,0.499,0.289,0.276,0.158,3.462
